japanese,english
晩(ばん)ご飯(はん),dinner
膝(ひざ),knee
忙(いそが)しい,busy
お尻(しり),"buttocks, bum"
足(あし)の指(ゆび),toes
それに,"moreover, on top of that"
ほっぺ,cheek
映(えい)画(が),movie
肘(ひじ),elbow
買(か)う,to buy
顎(あご),chin
眉(まゆ)毛(げ),eyebrow
残(ざん)念(ねん),too bad
化(け)粧(しょう)品(ひん),"make-up, cosmetics"
洋(よう)服(ふく),Western-style clothing
朝(あさ)ご飯(はん),breakfast
おでこ,forehead
足(あし)首(くび),ankle
〜で,event location marker
和(わ)服(ふく),Japanese-style clothing
飲(の)む,to drink
肩(かた),shoulder
それから,and then
睫(まつ)毛(げ),eyelash
昼(ひる)ご飯(はん),lunch
酒(さけ),sake; alcohol
首(くび),neck
売(う)る,to sell
腰(こし),lower back
爪(つめ),nails
手(て)首(くび),wrist
宜(よろ)しかったら,"if it's alright with you, if you don't mind"
