japanese,english,,
一(いっ)分(ぷん),1 minute,,
〜時(じ),〜 o’clock,,
午(ご)後(ご),"PM, afternoon",,
二(に)分(ふん),2 minutes,,
空(くう)港(こう),airport,,
何(なん)時(じ),what time?,,
三(さん)分(ぷん),3 minutes,,
から,"from, start particle",,
七(しち)時(じ),seven o’clock,,
半(はん),half past (:30),,
四(よん)分(ぷん),4 minutes,,
午(ご)前(ぜん),"AM, morning",,
九(く)時(じ),nine o’clock,,
五(ご)分(ふん),5 minutes,,
授(じゅ)業(ぎょう),class,,
六(ろっ)分(ぷん),6 minutes,,
アルバイト,part-time job,,
七(なな)分(ふん),7 minutes,,
休(やす)み,"day off, break, rest",,
八(はっ)分(ぷん),8 minutes,,
四(よ)時(じ),four o’clock,,
九(きゅう)分(ふん),9 minutes,,
まで,"until, destination particle",,
十(じゅっ)分(ぷん),10 minutes,,
