japanese,english
毎(まい)日(にち),every day
居(い)る,to be; to have (animate)
いつも,always
ソファー,sofa
冷(れい)凍(とう)庫(こ),freezer
延(えん)長(ちょう)コード,extension cord
ティッシュ,tissue
公(こう)園(えん),park
犬(いぬ)小(ご)屋(や),dog house
毎(まい)週(しゅう),every week
毎(まい)年(とし),every year
箪(たん)笥(す),dresser
する,to do (sth)
マスタード,mustard
醤(しょう)油(ゆ),soy sauce
マヨネーズ,mayonnaise
リモコン,remote control
綿(めん)棒(ぼう),cotton swab
本(ほん)棚(だな),bookshelf
ランプ,lamp
走(はし)る,to run
階(かい)段(だん),stairway
ケチャップ,ketchup
食(た)べる,to eat
ホテル,hotel
砂(さ)糖(とう),sugar
時(とき)々(どき),sometimes
ある,to be; to have (inanimate)
玉(たま),ball (also common cat name)
包(ほう)丁(ちょう),kitchen knife
警(けい)察(さつ),police; police station
部(へ)屋(や),bedroom; room
電(でん)子(し)レンジ,microwave
レンジ,stove
毎(まい)月(つき),every month
